latitude,longitude,elevation,time
50.710598895644,20.893799667452,245.1,
50.710198,20.895131,246.5,
50.710124,20.895457,246.6,
50.710024,20.897037,246.5,
50.7102,20.899038,247.0,
50.709992,20.902178,246.8,
50.709698,20.904402,249.4,
50.710354,20.907979,252.9,
50.710398,20.908697,253.5,
50.710262,20.910935,249.6,
50.710285,20.912188,249.2,
50.710222,20.91287,250.6,
50.710171,20.913263,251.3,
50.709613,20.915856,253.3,
50.708716,20.921459,252.3,
50.708538,20.922216,252.7,
50.708406,20.922348,253.5,
50.706819,20.921691,255.8,
50.706515,20.92165,256.0,
50.7065155,20.9216505,256.0,
50.706068,20.926257,256.4,
50.706098,20.927037,255.7,
50.705552,20.931266,259.2,
50.705426,20.934003,251.1,
50.704877,20.936717,252.4,
50.705168,20.941754,248.4,
50.705438,20.942953,247.5,
50.705892,20.946183,247.7,
50.705881,20.948661,246.7,
50.70528,20.95185,244.2,
50.704875,20.954553,240.5,
50.704627,20.955662,240.3,
50.703671,20.95736,236.3,
50.702467,20.957431,238.2,
50.701927,20.958605,239.4,
50.701609,20.95916,240.3,
50.701003,20.959941,240.3,
50.700365,20.960917,239.3,
50.699841,20.961869,236.3,
50.699525,20.962368,234.7,
50.696757,20.968729,245.5,
50.695837,20.972703,240.2,
50.69244,20.979631,233.5,
50.692245,20.97979,233.6,
50.691872,20.979919,233.7,
50.689297,20.986154,240.4,
50.689189,20.986523,240.9,
50.689144,20.989656,235.3,
50.689295,20.992224,230.7,
50.68907,20.9934815,228.9,
50.68907,20.9934815,228.9,
50.689,20.993762,228.5,
50.688275,20.994856,227.4,
50.687494,20.996285,227.5,
50.68709,20.997051,228.5,
50.686337,20.998812,228.4,
50.685937,20.999432,228.6,
50.684766,21.00005,232.5,
50.684364,21.00034,234.8,
50.683496,21.001477,238.2,
50.681688,21.004831,240.2,
50.681424,21.005321,238.2,
50.678357,21.013424,230.9,
50.675773,21.019234,230.0,
50.675641,21.019794,229.8,
50.6754,21.021265,229.6,
50.6754,21.021265,229.6,
50.675355,21.022508,230.7,
50.674634,21.026988,226.5,
50.673878,21.035713,222.3,
50.67359,21.036972,222.0,
50.673007,21.03846,219.6,
50.673007,21.03846,219.6,
50.673976,21.039663,218.0,
50.674814,21.04139,221.0,
50.674814,21.04139,221.0,
50.674931,21.041508,221.0,
50.674931,21.041508,221.0,
50.675477,21.042145,222.0,
50.675477,21.042145,222.0,
50.67547,21.042393,222.0,
50.67547,21.042393,222.0,
50.675014,21.043103,222.0,
50.675014,21.043103,222.0,
50.674676,21.043333,222.0,
50.674675875,21.043332875,222.0,
50.673447,21.046537,219.4,
50.673447,21.046537,219.4,
50.673504,21.046643,219.4,
50.674074,21.047367,221.5,
50.67443,21.047692,222.3,
50.674742,21.047881,222.7,
50.674981,21.047988,223.0,
50.676017,21.048128,224.5,
50.676168,21.048091,224.4,
50.676168,21.048091,224.4,
50.676734,21.05286,233.8,
50.676703,21.055197,236.2,
50.677209,21.05729,243.3,
50.676931,21.064194,246.7,
50.677295,21.070039,245.0,
50.676935,21.072286,241.7,
50.676935,21.072286,241.7,
50.676657,21.072809,242.1,
50.676383,21.073315,242.9,
50.673098,21.077878,234.7,
50.672872,21.078355,234.2,
50.672358,21.079553,230.9,
50.672094,21.080552,227.2,
50.671864,21.080803,225.3,
50.671377,21.081287,223.0,
50.6696,21.082121,218.1,
50.668122,21.082718,220.3,
50.667547,21.082656,223.7,
50.666594,21.082887,227.6,
50.666466,21.083128,228.4,
50.666466,21.083128,228.4,
50.666615,21.08402,227.3,
50.666651,21.084794,230.8,
50.666504583466,21.092022725964,239.0,
